movie_name,href,oscar,critics_choice,sag,bafta,pga,dga,golden_globe_mc,golden_globe_drama,wga_as,wga_os,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Braveheart,https://en.wikipedia.org/wiki/Braveheart,1,0,0,0,0,0,0,0,0,1,R,8.4,68,178,1995,3.9,7.2,Paramount,75609945,War,210409945
Apollo 13,https://en.wikipedia.org/wiki/Apollo_13_(film),0,0,1,0,1,1,0,0,0,0,PG,7.6,77,140,1995,3.6,8.2,Universal,173837933,Action,355237933
Babe,https://en.wikipedia.org/wiki/Babe_(film),0,0,0,0,0,0,1,0,0,0,G,6.8,83,91,1995,3,8.3,Universal,63658910,Comedy,254134910
Il Postino ,https://en.wikipedia.org/wiki/Il_Postino:_The_Postman,0,0,0,0,0,0,0,0,0,0,PG,7.7,81,108,1995,4.2,8,Miramax,21848932,Foreign,21848932
Sense and Sensibility,https://en.wikipedia.org/wiki/Sense_and_Sensibility_(film),0,1,0,1,0,0,0,1,1,0,PG,7.7,84,136,1995,3.9,8,Sony / Columbia,43182776,Period,134582776
The English Patient,https://en.wikipedia.org/wiki/The_English_Patient_(film),1,0,0,1,1,1,0,1,0,0,R,7.4,87,162,1996,3.6,7.6,Miramax,78676425,Romance,231976425
Fargo,https://en.wikipedia.org/wiki/Fargo_(film),0,1,0,0,0,0,0,0,0,1,R,8.1,85,98,1996,3.9,8.7,Gramercy,24611975,Crime,60611975
Jerry Maguire,https://en.wikipedia.org/wiki/Jerry_Maguire,0,0,0,0,0,0,0,0,0,0,R,7.3,77,139,1996,3.4,7.6,Sony / Columbia,153952592,Comedy,273552592
Secrets & Lies,https://en.wikipedia.org/wiki/Secrets_%26_Lies_(film),0,0,0,0,0,0,0,0,0,0,R,8,91,105,1996,4.1,8.6,October,13417292,Drama,13417292
Shine,https://en.wikipedia.org/wiki/Shine_(film),0,0,0,0,0,0,0,0,0,0,PG-13,7.7,87,105,1996,3.9,8,Fine Line,35892330,Musical,35892330
Titanic,https://en.wikipedia.org/wiki/Titanic_(1997_film),1,0,0,0,1,1,0,1,0,0,UA,7.8,75,194,1997,3.4,8,Paramount,659363944,Romance,2187463944
As Good as It Gets,https://en.wikipedia.org/wiki/As_Good_as_It_Gets,0,0,0,0,0,0,1,0,0,1,PG-13,7.7,67,139,1997,3.5,7.2,Sony / Columbia,148478011,Romance,314178011
The Full Monty,https://en.wikipedia.org/wiki/The_Full_Monty,0,0,1,1,0,0,0,0,0,0,R,7.2,75,91,1997,3.4,7.5,Fox Searchlight,45950122,Comedy,257938649
Good Will Hunting,https://en.wikipedia.org/wiki/Good_Will_Hunting,0,0,0,0,0,0,0,0,0,0,R,8.3,70,126,1997,3.9,8.1,Miramax,138433435,Drama,225933435
L.A. Confidential,https://en.wikipedia.org/wiki/L.A._Confidential_(film),0,1,0,0,0,0,0,0,1,0,R,8.3,90,138,1997,3.9,8.8,Warner Bros.,64616940,Crime,126216940
Shakespeare in Love,https://en.wikipedia.org/wiki/Shakespeare_in_Love,1,0,1,1,0,0,1,0,0,1,R,7.2,87,123,1998,3.5,8.3,Miramax,100317794,Period,289317794
Elizabeth,https://en.wikipedia.org/wiki/Elizabeth_(film),0,0,0,0,0,0,0,0,0,0,R,7.5,75,124,1998,3.9,7.3,Gramercy,30082699,Period,82150642
Life Is Beautiful,https://en.wikipedia.org/wiki/Life_Is_Beautiful,0,0,0,0,0,0,0,0,0,0,PG-13,8.6,59,116,1998,4.3,7.5,Miramax,57563264,Foreign,229163264
Saving Private Ryan,https://en.wikipedia.org/wiki/Saving_Private_Ryan,0,1,0,0,1,1,0,1,0,0,A,8.6,90,169,1998,4,8.6,DreamWorks,216540909,War,481840909
The Thin Red Line,https://en.wikipedia.org/wiki/The_Thin_Red_Line_(1998_film),0,0,0,0,0,0,0,0,0,0,R,7.6,78,170,1998,3.5,7.2,Fox,36400491,War,98126565
American Beauty,https://en.wikipedia.org/wiki/American_Beauty_(1999_film),1,1,1,1,1,1,0,1,0,1,A,8.4,86,122,1999,3.9,8.2,DreamWorks,130096601,Drama,356296601
The Cider House Rules,https://en.wikipedia.org/wiki/The_Cider_House_Rules_(film),0,0,0,0,0,0,0,0,0,0,PG-13,7.4,75,126,1999,3.5,6.6,Miramax,57545092,Period,88545092
The Green Mile,https://en.wikipedia.org/wiki/The_Green_Mile_(film),0,0,0,0,0,0,0,0,0,0,A,8.5,61,189,1999,4.2,6.9,Warner Bros.,136801374,Period,286801374
The Insider,https://en.wikipedia.org/wiki/The_Insider_(film),0,0,0,0,0,0,0,0,0,0,R,7.9,84,157,1999,3.9,8.1,Buena Vista,29089912,Thriller,60289912
The Sixth Sense,https://en.wikipedia.org/wiki/The_Sixth_Sense,0,0,0,0,0,0,0,0,0,0,PG-13,8.1,64,107,1999,3.9,7.6,Buena Vista,293506292,Horror,672806292
Gladiator,https://en.wikipedia.org/wiki/Gladiator_(2000_film),1,1,0,1,1,0,0,1,0,0,R,8.5,67,155,2000,3.9,7.2,DreamWorks,187705427,Drama,457640427
Chocolat,https://en.wikipedia.org/wiki/Chocolat_(2000_film),0,0,0,0,0,0,0,0,0,0,PG-13,7.3,64,121,2000,3.6,6,Miramax,71509363,Romance,152699946
"Crouching Tiger, Hidden Dragon","https://en.wikipedia.org/wiki/Crouching_Tiger,_Hidden_Dragon",0,0,0,0,0,1,0,0,0,0,PG-13,7.9,93,120,2000,3.6,8.6,Sony Classics,128078872,Foreign,213525736
Erin Brockovich,https://en.wikipedia.org/wiki/Erin_Brockovich_(film),0,0,0,0,0,0,0,0,0,0,R,7.3,73,131,2000,3.5,7.3,Universal,125595205,Drama,256271286
