director_name,href,oscar,movie_name,golden_globe,bafta,critics_choice,dga,satellite,nbr,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
David O. Russell,https://en.wikipedia.org/wiki/David_O._Russell,0,The Fighter,0,0,0,0,1,0,R,7.8,79,116,2010,4.2,7.8,Paramount,93617009,Sports,129190869
Michel Hazanavicius,https://en.wikipedia.org/wiki/Michel_Hazanavicius,1,The Artist,0,1,1,1,0,0,U,7.9,89,100,2011,4.2,8.8,A24,21101724,Comedy,28801724
Woody Allen,https://en.wikipedia.org/wiki/Woody_Allen,0,Midnight in Paris,0,0,0,0,0,0,PG-13,7.7,81,94,2011,4,7.8,Sony Classics,56817045,Romance,151119219
Terrence Malick,https://en.wikipedia.org/wiki/Terrence_Malick,0,The Tree of Life,0,0,0,0,1,0,PG-13,6.8,85,139,2011,3.4,8.1,Fox Searchlight,13303319,Drama,54303319
Alexander Payne,https://en.wikipedia.org/wiki/Alexander_Payne,0,The Descendants,0,0,0,0,0,0,A,7.3,84,115,2011,3.9,8.1,Fox Searchlight,82584160,Comedy,177243185
Martin Scorsese,https://en.wikipedia.org/wiki/Martin_Scorsese,0,Hugo,1,0,0,0,0,1,U,7.5,83,126,2011,4,8.3,Paramount,73864507,Fantasy,185770160
Ang Lee,https://en.wikipedia.org/wiki/Ang_Lee,1,Life of Pi,0,0,0,0,1,0,U,7.9,79,127,2012,4.2,7.9,Fox,124987023,Fantasy,609016565
Michael Haneke,https://en.wikipedia.org/wiki/Michael_Haneke,0,Amour,0,0,0,0,0,0,UA,7.9,94,127,2012,4,8.7,Sony Classics,6739492,Foreign,19839492
David O. Russell,https://en.wikipedia.org/wiki/David_O._Russell,0,Silver Linings Playbook,0,0,0,0,1,0,R,7.8,81,122,2012,4.2,8.2,Weinstein Company,132092958,Comedy,236412453
Steven Spielberg,https://en.wikipedia.org/wiki/Steven_Spielberg,0,Lincoln,0,0,0,0,0,0,U,7.4,86,150,2012,4,8,Buena Vista,182207973,Drama,275293450
Benh Zeitlin,https://en.wikipedia.org/wiki/Benh_Zeitlin,0,Beasts of the Southern Wild,0,0,0,0,0,0,PG-13,7.3,86,93,2012,3.9,8.2,Fox Searchlight,12795746,Drama,21107746
Alfonso Cuaron,https://en.wikipedia.org/wiki/Alfonso_Cuar%C3%B3n,1,Gravity,0,0,0,1,0,0,UA,7.8,96,91,2013,4,9,Warner Bros.,274092705,Sci-Fi,723192705
Steve McQueen,https://en.wikipedia.org/wiki/Steve_McQueen_(director),0,12 Years a Slave,0,0,0,0,1,0,A,8.1,96,134,2013,4.3,8.9,Fox Searchlight,56671993,Drama,187733202
Alexander Payne,https://en.wikipedia.org/wiki/Alexander_Payne,0,Nebraska,0,0,0,0,0,0,UA,7.7,86,115,2013,4,8.1,Paramount,17654912,Comedy,27682872
David O. Russell,https://en.wikipedia.org/wiki/David_O._Russell,0,American Hustle,0,0,0,0,1,0,A,7.3,90,138,2013,3.9,8.2,Sony / Columbia,150117807,Drama,251171807
Martin Scorsese,https://en.wikipedia.org/wiki/Martin_Scorsese,0,The Wolf of Wall Street,0,0,0,0,0,0,A,8.2,75,180,2013,4,7.8,Paramount,116900694,Drama,392000694
Alejandro G. Inarritu,https://en.wikipedia.org/wiki/Alejandro_Gonz%C3%A1lez_I%C3%B1%C3%A1rritu,1,Birdman,0,0,0,1,0,0,A,7.8,88,119,2014,4,8.5,Fox Searchlight,42340598,Comedy,103215094
Wes Anderson,https://en.wikipedia.org/wiki/Wes_Anderson,0,The Grand Budapest Hotel,0,0,0,0,0,0,R,8.1,88,99,2014,4.2,8.4,Fox Searchlight,59301324,Comedy,174801324
Richard Linklater,https://en.wikipedia.org/wiki/Richard_Linklater,0,Boyhood,1,1,1,0,1,0,A,7.9,100,165,2014,4,9.2,IFC,25352281,Drama,44495281
Bennett Miller,https://en.wikipedia.org/wiki/Bennett_Miller,0,Foxcatcher,0,0,0,0,0,0,R,7,81,134,2014,3.5,7.9,Sony Classics,12096300,Drama,12096300
Morten Tyldum,https://en.wikipedia.org/wiki/Morten_Tyldum,0,The Imitation Game,0,0,0,0,0,0,PG-13,8,73,114,2014,4.2,7.7,Weinstein Company,91125683,Drama,233555708
Alejandro G. Inarritu,https://en.wikipedia.org/wiki/Alejandro_Gonz%C3%A1lez_I%C3%B1%C3%A1rritu,1,The Revenant,1,1,0,1,0,0,A,8,76,156,2015,4.2,7.9,Fox,183637894,Action,532950503
Lenny Abrahamson,https://en.wikipedia.org/wiki/Lenny_Abrahamson,0,Room,0,0,0,0,0,0,R,8.2,86,118,2015,4.3,8.4,A24,14677654,Drama,35401758
Tom McCarthy,https://en.wikipedia.org/wiki/Tom_McCarthy_(director),0,Spotlight,0,0,0,0,1,0,R,8.1,93,128,2015,4.3,8.8,Open Road Films,45055776,Drama,88346473
