actor_name,href,oscar,movie_name,sag,golden_globe,bafta,critics_choice,satellite,nbr,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Christoph Waltz,https://en.wikipedia.org/wiki/Christoph_Waltz,1,Inglourious Basterds,1,1,1,1,1,0,A,8.3,69,153,2009,4,7.8,Weinstein Company,120540719,War,321455689
Matt Damon,https://en.wikipedia.org/wiki/Matt_Damon,0,Invictus,0,0,0,0,0,0,PG-13,7.4,74,134,2009,3.6,6.6,Warner Bros.,37491364,Drama,122233971
Woody Harrelson,https://en.wikipedia.org/wiki/Woody_Harrelson,0,The Messenger,0,0,0,0,0,1,R,7.1,77,113,2009,3.6,7.5,Oscilloscope Pictures,1109660,Drama,1521261
Christopher Plummer,https://en.wikipedia.org/wiki/Christopher_Plummer,0,The Last Station,0,0,0,0,0,0,R,7,76,112,2009,3.5,6.7,Sony Classics,6617867,Drama,13550772
Stanley Tucci,https://en.wikipedia.org/wiki/Stanley_Tucci,0,The Lovely Bones,0,0,0,0,0,0,PG-13,6.7,42,135,2009,3.2,5,Paramount (DreamWorks),44114232,Thriller,93621340
Christian Bale,https://en.wikipedia.org/wiki/Christian_Bale,1,The Fighter,1,1,0,1,1,1,R,7.8,79,116,2010,4.2,7.8,Paramount,93617009,Sports,129190869
John Hawkes,https://en.wikipedia.org/wiki/John_Hawkes_(actor),0,Winter's Bone,0,0,0,0,0,0,R,7.2,90,100,2010,3.8,8.3,Roadside Attractions,6531503,Drama,13796834
Jeremy Renner,https://en.wikipedia.org/wiki/Jeremy_Renner,0,The Town,0,0,0,0,0,0,R,7.6,74,125,2010,4,7.7,Warner Bros.,92186262,Crime,154026136
Mark Ruffalo,https://en.wikipedia.org/wiki/Mark_Ruffalo,0,The Kids Are All Right,0,0,0,0,0,0,R,7,86,106,2010,3.6,7.8,Focus Features,20811365,Comedy,34705850
Geoffrey Rush,https://en.wikipedia.org/wiki/Geoffrey_Rush,0,The King's Speech,0,0,1,0,0,0,R,8,88,118,2010,4.3,8.6,Weinstein Company,138797449,Drama,414211549
Christopher Plummer,https://en.wikipedia.org/wiki/Christopher_Plummer,1,Beginners,1,1,1,1,0,1,R,7.2,81,105,2010,3.9,7.4,Focus Features,5790894,Drama,14311701
Kenneth Branagh,https://en.wikipedia.org/wiki/Kenneth_Branagh,0,My Week with Marilyn,0,0,0,0,0,0,R,7,65,99,2011,3.6,7.2,Weinstein Company,14600347,Drama,35057696
Jonah Hill,https://en.wikipedia.org/wiki/Jonah_Hill,0,Moneyball,0,0,0,0,0,0,PG-13,7.6,87,133,2011,4,8,Sony / Columbia,75605492,Sports,110206216
Nick Nolte,https://en.wikipedia.org/wiki/Nick_Nolte,0,Warrior,0,0,0,0,0,0,UA,8.2,71,140,2011,4.3,7.3,Lions Gate,13657115,Action,23057115
Max von Sydow,https://en.wikipedia.org/wiki/Max_von_Sydow,0,Extremely Loud & Incredibly Close,0,0,0,0,0,0,PG-13,6.9,46,129,2011,3.5,5.5,Warner Bros.,31847881,Drama,55247881
Christoph Waltz,https://en.wikipedia.org/wiki/Christoph_Waltz,1,Django Unchained,0,1,1,0,0,0,A,8.4,81,165,2012,4.3,8,Weinstein Company,162805434,Western,425368238
Alan Arkin,https://en.wikipedia.org/wiki/Alan_Arkin,0,Argo,0,0,0,0,0,0,A,7.7,86,120,2012,4.2,8.4,Warner Bros.,136025503,Thriller,232325503
Robert De Niro,https://en.wikipedia.org/wiki/Robert_De_Niro,0,Silver Linings Playbook,0,0,0,0,0,0,R,7.8,81,122,2012,4.2,8.2,Weinstein Company,132092958,Comedy,236412453
Philip Seymour Hoffman,https://en.wikipedia.org/wiki/Philip_Seymour_Hoffman,0,The Master,0,0,0,1,0,0,A,7.1,86,138,2012,3.5,8.1,Weinstein Company,16377274,Drama,28258060
Tommy Lee Jones,https://en.wikipedia.org/wiki/Tommy_Lee_Jones,0,Lincoln,1,0,0,0,0,0,U,7.4,86,150,2012,4,8,Buena Vista,182207973,Drama,275293450
Jared Leto,https://en.wikipedia.org/wiki/Jared_Leto,1,Dallas Buyers Club,1,1,0,1,1,0,R,8,84,117,2013,4.2,7.8,Focus Features,27298285,Drama,55198285
Barkhad Abdi,https://en.wikipedia.org/wiki/Barkhad_Abdi,0,Captain Phillips,0,0,1,0,0,0,UA,7.8,83,134,2013,4.2,8.3,Sony / Columbia,107100855,Drama,218791811
Bradley Cooper,https://en.wikipedia.org/wiki/Bradley_Cooper,0,American Hustle,0,0,0,0,0,0,A,7.3,90,138,2013,3.9,8.2,Sony / Columbia,150117807,Drama,251171807
Michael Fassbender,https://en.wikipedia.org/wiki/Michael_Fassbender,0,12 Years a Slave,0,0,0,0,0,0,A,8.1,96,134,2013,4.3,8.9,Fox Searchlight,56671993,Drama,187733202
