actress_name,href,oscar,movie_name,sag,golden_globe_drama,golden_globe_mc,bafta,critics_choice,satellite,nbr,certificate,imdb_rating,meta_score,runtime,year,rt_audience_score,rt_critic_score,distributor,domestic,genre,worldwide
Jennifer Lawrence,https://en.wikipedia.org/wiki/Jennifer_Lawrence,0,Winter's Bone,0,0,0,0,0,0,0,R,7.2,90,100,2010,3.8,8.3,Roadside Attractions,6531503,Drama,13796834
Michelle Williams,https://en.wikipedia.org/wiki/Michelle_Williams_(actress),0,Blue Valentine,0,0,0,0,0,0,0,R,7.4,81,112,2010,3.8,7.8,Weinstein Company,9706328,Drama,12355734
Meryl Streep,https://en.wikipedia.org/wiki/Meryl_Streep,1,The Iron Lady,0,1,0,1,0,0,0,U,6.4,54,105,2011,3.4,5.7,Weinstein Company,30017992,Drama,114956699
Glenn Close,https://en.wikipedia.org/wiki/Glenn_Close,0,Albert Nobbs,0,0,0,0,0,0,0,R,6.7,57,113,2011,3.2,6,Roadside Attractions,3014696,Drama,5634828
Viola Davis,https://en.wikipedia.org/wiki/Viola_Davis,0,The Help,1,0,0,0,1,1,0,UA,8.1,62,146,2011,4.2,7,Buena Vista,169708112,Drama,216639112
Rooney Mara,https://en.wikipedia.org/wiki/Rooney_Mara,0,The Girl with the Dragon Tattoo,0,0,0,0,0,0,0,R,7.8,71,158,2011,4.2,7.6,Sony / Columbia,102515793,Thriller,232617430
Michelle Williams,https://en.wikipedia.org/wiki/Michelle_Williams_(actress),0,My Week with Marilyn,0,0,1,0,0,0,0,R,7,65,99,2011,3.6,7.2,Weinstein Company,14600347,Drama,35057696
Jennifer Lawrence,https://en.wikipedia.org/wiki/Jennifer_Lawrence,1,Silver Linings Playbook,1,0,1,0,0,1,0,R,7.8,81,122,2012,4.2,8.2,Weinstein Company,132092958,Comedy,236412453
Jessica Chastain,https://en.wikipedia.org/wiki/Jessica_Chastain,0,Zero Dark Thirty,0,1,0,0,1,0,1,A,7.4,95,157,2012,4,8.6,Sony / Columbia,95720716,Thriller,132820716
Emmanuelle Riva,https://en.wikipedia.org/wiki/Emmanuelle_Riva,0,Amour,0,0,0,1,0,0,0,UA,7.9,94,127,2012,4,8.7,Sony Classics,6739492,Foreign,19839492
Quvenzhane Wallis,https://en.wikipedia.org/wiki/Quvenzhane_Wallis,0,Beasts of the Southern Wild,0,0,0,0,0,0,0,PG-13,7.3,86,93,2012,3.9,8.2,Fox Searchlight,12795746,Drama,21107746
Naomi Watts,https://en.wikipedia.org/wiki/Naomi_Watts,0,The Impossible,0,0,0,0,0,0,0,UA,7.6,73,114,2012,4,7.3,Summit Entertainment,19019882,Drama,180274123
Cate Blanchett,https://en.wikipedia.org/wiki/Cate_Blanchett,1,Blue Jasmine,1,1,0,1,1,1,0,PG-13,7.3,78,98,2013,3.9,8.1,Sony Classics,33405481,Comedy,97505481
Amy Adams,https://en.wikipedia.org/wiki/Amy_Adams,0,American Hustle,0,0,1,0,0,0,0,A,7.3,90,138,2013,3.9,8.2,Sony / Columbia,150117807,Drama,251171807
Sandra Bullock,https://en.wikipedia.org/wiki/Sandra_Bullock,0,Gravity,0,0,0,0,0,0,0,UA,7.8,96,91,2013,4,9,Warner Bros.,274092705,Sci-Fi,723192705
Judi Dench,https://en.wikipedia.org/wiki/Judi_Dench,0,Philomena,0,0,0,0,0,0,0,PG-13,7.6,77,98,2013,4.2,7.8,Weinstein Company,37709979,Drama,100129872
Meryl Streep,https://en.wikipedia.org/wiki/Meryl_Streep,0,August: Osage County,0,0,0,0,0,0,0,A,7.2,58,121,2013,3.5,6.4,Weinstein Company,37738810,Comedy,74188937
Julianne Moore,https://en.wikipedia.org/wiki/Julianne_Moore,1,Still Alice,1,1,0,1,1,1,1,PG-13,7.5,72,101,2014,4,7.4,Sony Classics,18754371,Drama,43884652
Marion Cotillard,https://en.wikipedia.org/wiki/Marion_Cotillard,0,"Two Days, One Night",0,0,0,0,0,0,0,PG-13,7.4,89,95,2014,3.9,8.4,IFC,1436243,Foreign,6863243
Felicity Jones,https://en.wikipedia.org/wiki/Felicity_Jones,0,The Theory of Everything,0,0,0,0,0,0,0,PG-13,7.7,72,123,2014,4,7.3,Focus Features,35893537,Drama,123726688
Rosamund Pike,https://en.wikipedia.org/wiki/Rosamund_Pike,0,Gone Girl,0,0,0,0,0,0,0,A,8.1,79,149,2014,4.2,8,Fox,167767189,Thriller,369330363
Reese Witherspoon,https://en.wikipedia.org/wiki/Reese_Witherspoon,0,Wild,0,0,0,0,0,0,0,R,7.1,76,115,2014,3.9,7.5,Fox Searchlight,37880356,Drama,52501541
Brie Larson,https://en.wikipedia.org/wiki/Brie_Larson,1,Room,1,1,0,1,1,0,1,R,8.2,86,118,2015,4.3,8.4,A24,14677654,Drama,35401758
Cate Blanchett,https://en.wikipedia.org/wiki/Cate_Blanchett,0,Carol,0,0,0,0,0,0,0,R,7.2,95,118,2015,3.9,8.6,Weinstein Company,12711491,Drama,40272135
Jennifer Lawrence,https://en.wikipedia.org/wiki/Jennifer_Lawrence,0,Joy,0,0,1,0,0,0,0,PG-13,6.6,56,124,2015,3.4,6.2,Fox,56451232,Comedy,101134059
Charlotte Rampling,https://en.wikipedia.org/wiki/Charlotte_Rampling,0,45 Years,0,0,0,0,0,0,0,R,7.1,94,91,2015,3.5,8.6,IFC,4247285,Drama,4247285
Saoirse Ronan,https://en.wikipedia.org/wiki/Saoirse_Ronan,0,Brooklyn,0,0,0,0,0,1,0,PG-13,7.5,87,117,2015,4.2,8.4,Fox Searchlight,38322743,Drama,62076141
Emma Stone,https://en.wikipedia.org/wiki/Emma_Stone,1,La La Land,1,0,1,1,0,0,0,A,8.1,93,128,2016,4.2,8.7,Summit Entertainment,151101803,Musical,446090184
Isabelle Huppert,https://en.wikipedia.org/wiki/Isabelle_Huppert,0,Elle,0,1,0,0,0,1,0,A,8,90,126,2013,3.6,8,Sony Classics,2341534,Thriller,2341534
Ruth Negga,https://en.wikipedia.org/wiki/Ruth_Negga,0,Loving,0,0,0,0,0,1,0,PG-13,7,79,123,2016,3.9,7.7,Focus Features,7751969,Drama,12957265
Natalie Portman,https://en.wikipedia.org/wiki/Natalie_Portman,0,Jackie,0,0,0,0,1,0,0,R,6.7,81,100,2016,3.5,7.9,Fox Searchlight,13960394,Drama,13960394
Meryl Streep,https://en.wikipedia.org/wiki/Meryl_Streep,0,Florence Foster Jenkins,0,0,0,0,0,0,0,U,6.9,71,111,2016,3.6,7.1,Paramount,27383770,Drama,48902953
Sally Hawkins,https://en.wikipedia.org/wiki/Sally_Hawkins,0,The Shape of Water,0,0,0,0,0,1,0,R,7.8,87,123,2017,3.9,8.4,Fox Searchlight,54480844,Fantasy,95762358
Frances McDormand,https://en.wikipedia.org/wiki/Frances_McDormand,0,"Three Billboards Outside Ebbing, Missouri",1,1,0,1,1,0,0,R,8.3,88,115,2017,4.2,8.5,Fox Searchlight,49189579,Crime,114644508
Margot Robbie,https://en.wikipedia.org/wiki/Margot_Robbie,0,"I, Tonya",0,0,0,0,0,0,0,R,7.6,77,120,2017,4.2,7.8,Neon,28314408,Comedy,28314408
Saoirse Ronan,https://en.wikipedia.org/wiki/Saoirse_Ronan,0,Lady Bird,0,0,1,0,0,0,0,R,7.7,94,94,2017,4,8.7,A24,46632130,Comedy,52232130
Meryl Streep,https://en.wikipedia.org/wiki/Meryl_Streep,0,The Post,0,0,0,0,0,0,1,PG-13,7.3,83,116,2017,3.8,7.9,Fox,77963001,Drama,135963001
